Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Shahid Afridi (PAK),2006-2016,98,96,357.2,4,2362,97,4/11,24.35,6.61,22.1,3,0
Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2
SL Malinga (SL),2006-2016,62,62,217.5,0,1582,78,5/31,20.28,7.26,16.7,1,1
BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18,1,0
Shakib Al Hasan (BDESH),2006-2016,54,53,195.5,1,1322,65,4/15,20.33,6.75,18,3,0
NL McCullum (NZ),2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0
DW Steyn (SA),2007-2016,42,42,150.1,2,1009,58,4/9,17.39,6.71,15.5,2,0
KMDN Kulasekara (SL),2008-2016,50,50,176.1,6,1280,56,4/32,22.85,7.26,18.8,1,0
R Ashwin (INDIA),2010-2016,45,45,167,2,1154,52,4/8,22.19,6.91,19.2,2,0
DJ Bravo (WI),2006-2016,66,56,173.4,0,1470,52,4/28,28.26,8.46,20,2,0
Sohail Tanvir (PAK),2007-2016,54,54,191.2,3,1364,52,3/12,26.23,7.12,22,0,0
GP Swann (ENG),2008-2012,39,38,135,4,859,51,3/13,16.84,6.36,15.8,0,0
GH Dockrell (IRE),2010-2016,39,35,116.4,1,730,48,4/20,15.2,6.25,14.5,1,0
SR Watson (AUS),2006-2016,58,49,155,2,1187,48,4/15,24.72,7.65,19.3,1,0
Mohammad Nabi (AFG),2010-2016,45,45,163,5,1126,47,4/17,23.95,6.9,20.8,2,0
Mohammad Hafeez (PAK),2006-2016,77,57,167.2,1,1120,46,4/10,24.34,6.69,21.8,1,0
KJ O'Brien (IRE),2008-2016,52,39,118.3,0,789,46,3/8,17.15,6.65,15.4,0,0
TG Southee (NZ),2008-2015,38,37,137,2,1182,46,5/18,25.69,8.62,17.8,0,1
M Morkel (SA),2007-2015,39,39,138.4,3,1022,45,4/17,22.71,7.37,18.4,2,0
Abdur Razzak (BDESH),2006-2014,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0
DJG Sammy (WI),2007-2016,66,57,146.4,0,1068,44,5/26,24.27,7.28,20,1,1
Ahsan Malik (Neth),2012-2016,28,26,86.5,1,637,43,5/19,14.81,7.33,12.1,1,1
Mudassar Bukhari (Neth),2008-2016,38,35,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0
Imran Tahir (SA),2013-2016,27,27,102,0,661,43,4/21,15.37,6.48,14.2,2,0
KD Mills (NZ),2005-2014,42,42,149.3,1,1228,43,3/26,28.55,8.21,20.8,0,0
S Badree (WI),2012-2016,32,32,120,3,671,42,4/15,15.97,5.59,17.1,1,0
SP Narine (WI),2012-2016,39,37,138.4,1,838,40,4/12,20.95,6.04,20.8,1,0
Al-Amin Hossain (BDESH),2013-2016,25,23,79.2,0,592,39,3/20,15.17,7.46,12.2,0,0
JW Dernbach (ENG),2011-2014,34,33,117,1,1020,39,4/22,26.15,8.71,18,1,0
MG Johnson (AUS),2007-2013,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0
Mashrafe Mortaza (BDESH),2006-2016,49,48,171.3,1,1363,38,4/19,35.86,7.94,27,1,0
WD Parnell (SA),2009-2015,35,34,110.5,3,891,38,4/13,23.44,8.03,17.5,1,0
DL Vettori (NZ),2007-2014,34,34,131.1,1,748,38,4/20,19.68,5.7,20.7,1,0
J Botha (SA),2006-2012,40,39,129,1,823,37,3/16,22.24,6.37,20.9,0,0
AD Mathews (SL),2009-2016,66,52,149.1,4,993,36,3/16,27.58,6.65,24.8,0,0
AR Cusack (IRE),2008-2015,37,33,101,3,714,35,4/11,20.4,7.06,17.3,3,0
Dawlat Zadran (AFG),2012-2016,29,29,106,2,806,35,3/17,23.02,7.6,18.1,0,0
NLTC Perera (SL),2010-2016,54,43,111.2,1,1003,35,3/33,28.65,9,19,0,0
Mohammad Amir (PAK),2009-2016,31,31,115,5,809,34,3/18,23.79,7.03,20.2,0,0
AG Cremer (ZIM),2008-2016,27,26,89,1,622,33,3/11,18.84,6.98,16.1,0,0
Hamid Hassan (AFG),2010-2016,22,22,79.4,2,523,32,4/22,16.34,6.56,14.9,1,0
DT Johnston (IRE),2008-2013,30,28,99,5,636,32,4/22,19.87,6.42,18.5,1,0
JP Faulkner (AUS),2012-2016,21,21,74.5,0,605,31,5/27,19.51,8.08,14.4,0,1
